id,timestamp,latitude,longitude,hour,cluster
David,2020-07-04 15:35:30,10.1489531,77.593651,16,-1
David,2020-07-04 16:35:30,10.2223969,77.6528281,17,-1
Frank,2020-07-04 14:35:30,10.2365065,77.693792,15,-1
Carol,2020-07-04 21:35:30,10.1637157,77.5628422,22,-1
Ivan,2020-07-04 22:35:00,10.2320953,77.580273,23,-1
Erin,2020-07-04 14:35:30,10.1022351,77.6943819,15,0
Bob,2020-07-04 13:35:30,10.2245008,77.6683103,14,-1
Grace,2020-07-04 14:35:30,10.1427781,77.6915602,15,-1
Alice,2020-07-04 22:35:00,10.0903683,77.561579,23,-1
Frank,2020-07-04 12:35:00,10.208293,77.6646068,13,-1
Frank,2020-07-04 23:35:30,10.2496455,77.6037114,24,-1
Grace,2020-07-04 20:35:30,10.0224267,77.6597966,21,-1
David,2020-07-04 14:35:30,10.2105128,77.590781,15,-1
Bob,2020-07-04 15:35:30,10.2120608,77.6998756,16,-1
Judy,2020-07-04 23:35:30,10.057201,77.5721872,24,-1
Carol,2020-07-04 16:35:30,10.0826863,77.5552731,17,-1
Ivan,2020-07-04 20:35:30,10.2410581,77.6323702,21,-1
Carol,2020-07-04 22:35:00,10.2478885,77.6825586,23,-1
Ivan,2020-07-04 12:35:00,10.1949846,77.5945885,13,-1
Erin,2020-07-04 14:35:30,10.1021508,77.6949036,15,0
Ivan,2020-07-04 21:35:30,10.0557012,77.6287195,22,-1
Grace,2020-07-04 17:35:00,10.1802384,77.5654353,18,-1
Ivan,2020-07-04 13:35:30,10.1684946,77.6764757,14,-1
Carol,2020-07-04 17:35:00,10.0122178,77.5979828,18,-1
Heidi,2020-07-04 18:35:30,10.1972994,77.6573416,19,-1
David,2020-07-04 16:35:30,10.0508392,77.6720238,17,-1
Frank,2020-07-04 23:35:30,10.0256411,77.6877398,24,-1
David,2020-07-04 14:35:30,10.1473178,77.6476542,15,-1
David,2020-07-04 12:35:00,10.0277588,77.5987964,13,-1
Judy,2020-07-04 19:30:30,10.126296,77.5627483,20,-1
Alice,2020-07-04 20:35:30,10.1460048,77.694831,21,-1
Frank,2020-07-04 13:35:30,10.0718167,77.6598341,14,-1
Grace,2020-07-04 12:35:00,10.124961,77.6569083,13,-1
Ivan,2020-07-04 19:30:30,10.1401623,77.5925943,20,-1
Alice,2020-07-04 13:35:30,10.1527119,77.6836231,14,-1
Alice,2020-07-04 14:35:30,10.2311017,77.7054541,15,-1
Ivan,2020-07-04 15:35:30,10.1523845,77.7019891,16,-1
Erin,2020-07-04 15:35:30,10.1416146,77.6812269,16,-1
Ivan,2020-07-04 13:35:30,10.1911768,77.6479403,14,-1
Judy,2020-07-04 18:35:30,10.0102837,77.7022628,19,-1
Judy,2020-07-04 15:35:30,10.1024102,77.5721686,16,-1
Alice,2020-07-04 12:35:00,10.1557417,77.601504,13,-1
Alice,2020-07-04 19:30:30,10.0370289,77.7026797,20,-1
Bob,2020-07-04 13:35:30,10.165858,77.6627689,14,-1
Ivan,2020-07-04 17:35:00,10.1858826,77.6710301,18,-1
Judy,2020-07-04 15:35:30,10.0770054,77.7051441,16,1
Grace,2020-07-04 22:35:00,10.0118922,77.6298446,23,-1
Heidi,2020-07-04 15:35:30,10.1264796,77.6502092,16,-1
Erin,2020-07-04 19:30:30,10.218727,77.6655651,20,-1
Carol,2020-07-04 19:30:30,10.1275096,77.5874724,20,2
Judy,2020-07-04 15:35:30,10.2347121,77.6336393,16,-1
Erin,2020-07-04 13:35:30,10.1073459,77.5949414,14,-1
Frank,2020-07-04 16:35:30,10.1196144,77.6835993,17,-1
Grace,2020-07-04 20:35:30,10.0720764,77.6448257,21,-1
Judy,2020-07-04 15:35:30,10.0701176,77.5644093,16,-1
Judy,2020-07-04 19:30:30,10.0254008,77.5956911,20,-1
Grace,2020-07-04 13:35:30,10.0186005,77.6675632,14,-1
Ivan,2020-07-04 18:35:30,10.2148203,77.5942046,19,-1
Heidi,2020-07-04 20:35:30,10.1972535,77.6810406,21,-1
Bob,2020-07-04 20:35:30,10.1023446,77.6201972,21,-1
Heidi,2020-07-04 21:35:30,10.1172665,77.6287845,22,-1
Heidi,2020-07-04 14:35:30,10.1143547,77.7006167,15,-1
Bob,2020-07-04 16:35:30,10.1834983,77.6142176,17,-1
Judy,2020-07-04 14:35:30,10.1631831,77.6067975,15,-1
Grace,2020-07-04 21:35:30,10.2485907,77.6106422,22,-1
Judy,2020-07-04 14:35:30,10.2301899,77.6979974,15,-1
David,2020-07-04 22:35:00,10.0278957,77.7009044,23,-1
Erin,2020-07-04 23:35:30,10.0474302,77.6535994,24,-1
Alice,2020-07-04 23:35:30,10.0604557,77.6538071,24,-1
Frank,2020-07-04 22:35:00,10.0162714,77.6180376,23,-1
Erin,2020-07-04 18:35:30,10.0245701,77.7016673,19,-1
Erin,2020-07-04 15:35:30,10.099348,77.6326509,16,-1
Bob,2020-07-04 20:35:30,10.1052884,77.6387677,21,-1
Ivan,2020-07-04 23:35:30,10.2105555,77.7020588,24,-1
Erin,2020-07-04 15:35:30,10.2425201,77.6790448,16,-1
Alice,2020-07-04 17:35:00,10.0489629,77.5934593,18,-1
Heidi,2020-07-04 17:35:00,10.1482102,77.6433252,18,-1
Heidi,2020-07-04 15:35:30,10.2291085,77.5615716,16,3
Carol,2020-07-04 19:30:30,10.0864946,77.608463,20,-1
Bob,2020-07-04 23:35:30,10.1199324,77.6003416,24,-1
Heidi,2020-07-04 23:35:30,10.195825,77.6322817,24,-1
Judy,2020-07-04 20:35:30,10.0915609,77.6666303,21,-1
Frank,2020-07-04 18:35:30,10.1039981,77.6052929,19,-1
Alice,2020-07-04 16:35:30,10.0157233,77.6282509,17,-1
Judy,2020-07-04 14:35:30,10.0915817,77.6536829,15,-1
Ivan,2020-07-04 20:35:30,10.1855125,77.5615038,21,-1
Erin,2020-07-04 22:35:00,10.2120474,77.6866381,23,-1
Ivan,2020-07-04 14:35:30,10.1161751,77.5906848,15,-1
David,2020-07-04 12:35:00,10.1037371,77.5937944,13,4
Bob,2020-07-04 15:35:30,10.0767763,77.7042326,16,1
Frank,2020-07-04 17:35:00,10.0932315,77.5968721,18,5
David,2020-07-04 12:35:00,10.0741422,77.6850085,13,-1
David,2020-07-04 13:35:30,10.1212952,77.5533811,14,-1
Alice,2020-07-04 13:35:30,10.1195633,77.5842921,14,-1
David,2020-07-04 18:35:30,10.2244016,77.6509102,19,-1
Judy,2020-07-04 16:35:30,10.1764806,77.6193964,17,-1
Bob,2020-07-04 15:35:30,10.1723385,77.6620798,16,-1
Grace,2020-07-04 23:35:30,10.1150789,77.6979914,24,-1
Bob,2020-07-04 19:30:30,10.1807515,77.7044039,20,-1
Alice,2020-07-04 19:30:30,10.2062349,77.5952451,20,-1
David,2020-07-04 07:30:16,10.0049182,77.6388868,8,-1
David,2020-07-03 19:00:48,10.2106593,77.5078168,20,6
David,2020-07-03 20:56:54,10.1775646,77.6679475,21,-1
David,2020-07-04 11:16:58,10.0219741,77.5468538,12,-1
David,2020-07-04 05:24:36,10.2884212,77.51647,6,-1
David,2020-07-03 18:37:03,10.0892105,77.5702377,19,-1
David,2020-07-04 04:14:23,10.0283319,77.5941974,5,-1
David,2020-07-04 07:15:10,10.1253263,77.574583,8,-1
Frank,2020-07-04 00:20:24,10.228847,77.6020991,1,-1
Frank,2020-07-04 01:57:41,10.2884728,77.6019965,2,-1
Frank,2020-07-03 23:32:20,10.1284525,77.5107675,24,-1
